TotalSF,OverallQual,YearBuilt,YearRemodAdd,GrLivArea,LotArea,KitchenQual_2,BsmtUnfSF,BsmtFinSF1,CentralAir_1,SalePrice
4858,6,1918,1950,2624,22420,0,242,1128,0,12.384223015005313
2130,5,1940,1950,1134,8160,0,444,312,0,11.744045122410057
2416,5,1968,1968,1056,8450,0,281,775,1,11.863589378812122
3472,7,1997,1998,1344,7060,0,35,1309,1,12.237091546357338
3733,6,1977,2000,1602,16635,1,356,1246,1,12.278397958261774
2496,5,1954,1954,988,21750,0,988,0,1,11.635151947212842
4796,8,1998,1998,2630,9200,1,484,986,1,12.660331092405906
2689,6,1956,1956,1196,9000,0,580,616,1,11.842236406331555
2280,7,1946,1992,1389,3378,0,651,0,1,11.813037464800539
3731,7,1989,1989,1644,12800,1,0,1518,1,12.524530013005734
2166,4,1957,1957,907,8593,0,619,288,1,11.599185726610004
3044,7,2007,2007,1208,6762,1,544,664,1,12.182809136284991
3380,6,1988,1988,1412,11457,1,387,1005,1,12.07254696717504
1734,6,1971,1971,987,1680,0,96,387,1,11.355113089309977
2099,6,1920,1998,1198,5586,0,901,0,1,11.288543647320601
2570,5,1971,1971,1365,1920,0,294,471,1,11.715874472198905
3000,6,1997,1998,1604,10839,0,926,0,1,12.10625783509458
1260,4,1972,1972,630,1890,0,135,495,1,11.302216779257382
3010,7,1996,1996,1661,10667,1,70,385,1,12.264346270624157
2206,6,1920,1950,1118,4400,0,648,0,1,11.661354090741
1968,6,1926,2004,904,6000,0,884,0,1,11.686887175419702
1486,5,1913,2002,694,4280,1,75,365,0,11.411457364027745
2408,6,1920,2000,1196,12354,1,684,0,1,11.608244735642321
6168,10,2008,2008,2402,15431,1,788,1767,1,13.22672519452875
2880,4,1955,1955,1440,12108,0,1307,133,0,11.678448377988165
3011,5,1930,1992,1573,6240,0,1078,0,1,12.000897933306716
3164,7,2006,2007,1258,3922,1,1258,0,1,12.058158312538197
3316,7,1994,1995,1908,8750,1,273,642,1,12.25486757159303
3605,6,1956,1956,1689,9855,0,1436,0,1,11.755879486687116
3983,6,1966,2002,1888,16492,1,557,247,1,12.154784614286667
3247,7,1998,1999,1886,11214,1,930,0,1,12.20557752297723
2354,6,1937,1950,1376,8600,0,780,0,1,11.691080018519527
2140,3,1948,2002,1183,6000,0,318,331,1,11.695255355062795
1896,6,1930,2005,813,5684,1,813,0,1,11.608244735642321
3642,7,1975,1975,1533,70761,1,878,655,1,12.54254845357358
3050,6,1996,1997,1756,9303,0,130,742,1,12.225880174775122
3034,8,2008,2008,1590,9000,1,768,0,1,12.25486757159303
4016,5,1976,1976,1728,9297,0,122,1606,1,12.144202560946876
3012,7,1973,1973,1242,9600,0,326,916,1,12.075400019877522
2481,5,1916,1950,1344,4571,0,624,0,0,11.49273296168228
3556,4,1954,1994,1663,53227,1,248,1116,1,12.45293662970407
2482,8,1925,1996,1666,5100,1,588,0,1,11.989165855127435
2264,5,1950,1950,1203,7015,1,524,185,1,11.608244735642321
3319,8,2009,2009,1935,8004,0,288,544,1,12.481565733211923
2271,7,1936,2007,1135,7200,1,0,350,1,11.951186847493476
2088,5,1965,1965,864,8281,0,0,553,1,11.04106411122238
2615,6,1934,1995,1660,11988,0,389,326,1,12.147919030759663
2080,5,1978,1978,1040,8430,0,424,616,1,11.728044909070785
3187,7,2004,2004,1414,3072,1,1375,0,1,12.093693109638318
3080,7,1970,1970,1277,10628,0,499,778,1,12.025755079404917
2684,5,1942,1995,1644,9480,1,342,386,1,11.89478753335453
4126,8,2006,2006,1634,11428,1,1626,0,1,12.429220196836383
3048,6,1993,1993,1710,9291,1,406,426,1,12.138869243416009
3518,8,1985,1985,1502,6820,1,0,368,1,12.264346270624157
3311,7,1977,1977,1969,11952,0,808,0,1,12.154784614286667
2144,6,2005,2005,1072,3675,0,88,459,1,11.904974309480183
4860,8,2006,2007,1976,14977,1,626,1350,1,12.994532278619134
3645,8,2000,2000,1652,5330,1,298,1196,1,12.433212202169729
2564,5,1963,1963,970,8480,0,340,630,1,11.794345471549745
3479,6,1997,1998,1493,13125,1,484,994,1,12.249615734512616
5490,9,2006,2006,2643,13693,1,2153,0,1,12.847929163278053
4249,8,2007,2008,1718,10637,1,417,1288,1,12.601490784782536
2710,4,1937,2000,1131,5925,0,739,168,1,11.401681006153428
4455,9,2004,2005,1850,16033,1,572,1261,1,12.694655727828803
4458,9,2003,2004,1792,11846,1,225,1567,1,12.832013750189885
2900,7,1915,2005,1826,2500,1,611,299,1,11.951186847493476
2834,6,1998,1998,1216,4500,0,319,897,1,12.00762780434872
2262,5,1962,2001,999,7758,1,411,588,1,11.794345471549745
2490,5,1950,2007,1113,9600,1,506,607,1,11.898194668458823
2661,5,1965,1965,1073,10289,0,237,836,1,11.957617696467539
3455,5,1971,1971,1484,12243,0,486,998,1,12.07254696717504
3888,5,1900,1970,2414,10800,0,290,664,0,11.982935344196433
1546,4,1970,2002,630,1526,1,115,515,1,11.362114203075018
1904,5,1976,1976,1304,2665,0,264,0,1,11.652696102959753
2624,6,1941,1950,1578,9490,0,238,403,1,11.798111925972618
2613,6,2006,2006,1456,15578,0,728,0,1,12.059809113551397
2846,5,1960,1960,1269,7931,0,363,374,1,11.951186847493476
1349,5,1938,1996,886,5784,0,190,0,1,11.421917019425596
1440,4,1920,1950,720,7879,0,225,495,0,10.460270761075149
6974,8,1992,1993,3228,12692,1,1969,1231,1,12.971542813248437
3086,7,1925,1950,1820,9120,0,697,329,1,12.122696471358964
2051,5,1967,2004,899,7800,1,414,450,1,11.775297421715827
2121,5,1958,1985,912,7535,0,522,111,1,11.695255355062795
2154,6,1973,1973,1218,1890,0,316,356,1,11.635151947212842
3237,7,2005,2005,1768,9803,1,466,400,1,12.331387247601905
2889,5,1965,1965,1214,9170,0,420,698,1,11.849404844423074
3786,7,1959,1997,1801,15602,0,254,1247,1,12.574185427296195
2617,6,1974,1974,1322,2308,0,103,257,1,11.898194668458823
3320,5,1952,1952,1960,7596,0,960,0,1,11.732069026983156
3159,8,1993,1994,1911,9554,1,397,380,1,12.278397958261774
3112,6,2009,2009,1218,7862,1,1191,27,1,12.246739428005663
2427,7,1928,2005,1378,9600,1,548,141,1,11.989165855127435
2352,5,1959,1959,1041,9600,0,50,991,1,11.732069026983156
2659,5,1951,2000,1363,14559,0,178,650,1,12.013100572810686
3210,7,2005,2006,1368,6792,1,1368,0,1,12.2193145828011
2352,5,1958,1958,864,9100,0,169,521,1,11.774527900858468
2648,6,1983,1983,1080,9187,0,748,336,1,11.80560254159177
1757,5,1926,1950,789,10594,0,768,0,0,11.477308649967686
4926,10,2009,2009,2020,12220,1,570,1436,1,12.90634935052389
3391,6,1972,1972,2119,10448,0,689,0,1,11.970356641102999
4497,7,1996,1997,2344,10208,1,1264,0,1,12.487488878546145
3136,6,1998,1998,1796,9531,0,88,706,1,12.259618151783465
3638,7,1926,2004,2080,10918,1,1276,0,1,12.36308066783498
1294,4,1900,2000,1294,10800,0,0,0,0,11.573559498507079
2824,6,1957,1957,1244,11988,0,467,777,1,11.918397239722838
3088,6,1947,1950,1664,5000,0,605,399,1,11.976665770490767
8698,10,2007,2008,4676,40094,1,878,2260,1,12.126764251515691
4611,7,1996,1997,2398,11787,1,660,719,1,12.662709207270272
2976,7,2005,2005,1266,7500,1,1257,0,1,12.07824495582233
2108,5,1956,2000,928,13300,0,551,377,1,11.790564777297387
5023,9,2008,2008,2713,14948,1,122,1330,1,13.008661502470739
1133,4,1920,2002,605,9098,0,180,348,1,11.362114203075018
5034,6,1957,1975,2515,32668,0,816,1219,1,12.209192772866418
3570,6,1988,1989,1509,10200,1,678,783,1,12.07254696717504
2475,6,1920,1999,1362,6155,0,611,0,1,11.759793355371237
1219,5,1955,2007,827,7200,0,0,0,1,11.58525542883217
334,1,1946,1950,334,5000,0,0,0,0,10.579005242826247
2524,8,2004,2004,1414,9056,1,707,0,1,12.08954444723597
2464,5,1910,1991,1347,7000,0,148,969,1,11.58525542883217
3131,7,1998,1999,1724,8924,1,880,0,1,12.144202560946876
2304,4,1972,1972,864,12735,0,264,600,1,11.619544188752133
2546,5,1968,1968,1159,11553,0,378,673,1,11.970356641102999
3852,8,2001,2002,1601,11423,1,223,1358,1,12.513561021741964
4441,9,2006,2006,1838,14601,1,578,1260,1,12.660331092405906
3902,8,2000,2000,2285,11000,1,969,0,1,12.421188057397055
3913,7,1998,1999,1680,10140,1,379,144,1,12.270225154674701
1857,7,1998,1998,767,4058,0,0,584,1,11.798111925972618
2576,7,2006,2006,1496,17104,1,100,554,1,12.098854850641
4173,7,1988,1988,2183,13837,1,0,1002,1,12.34148164933907
3140,6,1923,1950,1635,8737,0,765,300,1,12.25486757159303
2160,5,1970,1970,768,7244,0,149,619,1,11.771443882099637
2370,5,1955,1995,825,8235,0,0,180,1,11.736077016252437
3621,7,2003,2004,2094,9375,1,912,0,1,12.479913113434042
2578,6,1977,1977,1069,4043,0,510,559,1,11.849404844423074
2144,5,1957,1957,928,6000,0,620,308,1,11.630717389475995
4334,8,2006,2006,1717,11146,1,1709,0,1,12.450981602512561
1646,4,1949,2003,1126,8777,1,0,0,1,11.58989576532275
3915,7,2003,2004,2046,10625,1,132,866,1,12.556733038263905
2321,5,1922,1950,1048,6380,0,993,0,1,11.635151947212842
2483,5,1957,1957,1092,14850,0,197,895,1,11.856522261533737
2543,4,1920,1950,1336,11040,0,0,637,1,11.58989576532275
2581,7,1996,1997,1446,21872,0,125,604,1,12.07254696717504
3351,7,2003,2004,1557,3196,1,1374,0,1,12.36308066783498
3312,5,1957,1996,1392,11341,0,90,1302,1,11.707677772181546
3196,5,1974,1975,1389,10010,0,195,1071,1,12.04355959836804
1992,5,1940,1969,996,13907,0,706,290,1,11.58989576532275
3233,6,1918,1950,1674,21780,0,1163,0,1,12.128116509451258
3980,7,1992,2000,2295,13346,1,367,728,1,12.498745990829315
2669,6,1915,1950,1647,6858,0,806,0,0,11.759793355371237
4282,9,2005,2007,2504,11198,1,1122,0,1,12.691583538230217
3584,7,2004,2004,1535,10171,1,1515,2,1,12.273735966890268
4240,8,1983,2009,2132,12327,1,55,1441,1,12.665397584983758
2486,5,1979,1979,943,7032,0,0,943,1,11.820123358887447
4032,5,1965,1965,1728,13101,0,1497,231,1,11.867805799560465
2016,6,1959,1959,864,7332,1,450,414,1,11.695255355062795
3188,7,2009,2009,1692,13159,1,846,0,1,12.32163544049751
2214,7,2000,2000,1430,9967,0,384,0,1,12.04355959836804
1769,5,1971,2005,1109,10500,0,23,349,1,11.842236406331555
2384,5,1947,1950,1216,8480,0,390,442,1,11.682676678340282
2554,7,1928,1950,1477,6292,0,861,0,1,11.884495917930655
3048,5,1966,1966,1320,11777,0,285,328,1,12.010671928196443
2621,7,2007,2007,1392,3604,1,689,0,1,11.891368749982085
3197,5,1954,1954,1795,12150,0,1050,0,0,11.78676973513378
3145,6,1960,1987,1429,14585,1,331,594,1,12.111217862017215
5474,8,2008,2009,2042,12704,1,2042,0,1,12.442306148381938
1632,6,1990,1990,816,11841,0,0,816,1,11.682676678340282
4892,10,1893,2000,2775,13500,1,1237,0,1,12.691583538230217
2697,4,1935,1995,1573,6120,1,884,0,1,11.798111925972618
4776,8,2005,2006,2028,11443,1,408,1460,1,12.820990681250251
1929,6,1918,2000,838,10267,0,0,210,1,11.775297421715827
2228,5,1982,1982,860,8740,0,168,672,1,11.827743504053695
3362,5,1968,2003,1473,25095,1,113,1324,1,11.870606902224587
1829,5,1930,1960,935,9100,0,742,0,1,11.283524879179666
2872,7,2004,2004,1582,8320,1,280,490,1,12.132969552931216
4860,10,2008,2008,2296,13478,1,384,1338,1,13.02132904585825
2448,5,1982,2003,816,6600,0,0,816,1,11.835016210489899
2116,6,2003,2003,848,4435,1,163,685,1,11.849404844423074
2128,5,1975,1975,924,7990,0,924,0,1,11.608244735642321
4398,8,2005,2006,1826,11302,1,392,1422,1,12.672949516558306
2268,6,1910,1993,1368,3600,0,684,0,0,11.648373769145277
3308,7,2006,2007,1402,3922,1,1258,0,1,12.176654133447505
3698,5,1977,1977,1647,12984,1,0,1283,1,12.289958727201455
2724,6,1980,1980,1556,1950,0,23,81,1,11.92504173829169
3698,8,2005,2005,1904,10927,1,512,546,1,12.524530013005734
2699,6,1937,1950,1375,9000,1,780,0,1,11.856522261533737
3329,8,1992,1992,1915,10041,1,119,789,1,12.301387370778713
2280,7,2004,2005,1200,3182,1,600,0,1,11.92504173829169
3518,7,2002,2002,1494,12803,1,572,922,1,12.30592250537653
3240,7,1965,1990,1986,13600,0,314,454,1,12.230770136157428
2656,5,1996,1996,1040,12464,1,308,732,1,11.931642378754141
3134,5,1948,2002,2008,7800,1,293,603,1,12.323860125621126
4539,8,1934,1998,3194,12168,0,537,428,1,12.791358964949923
2319,4,1961,1961,1029,7943,0,126,903,1,11.682676678340282
4329,9,2000,2000,2153,11050,1,536,904,1,12.653961664405365
2628,6,1978,1978,1032,10395,0,427,605,1,11.904974309480183
3702,8,2001,2001,1872,11885,1,309,990,1,12.474193386571581
2240,5,2007,2007,1120,8402,0,914,206,1,11.898194668458823
1260,4,1972,1972,630,1491,0,0,150,1,11.231901180182515
2470,6,1963,1963,1054,8800,1,173,763,1,11.83138646878959
2685,6,2002,2003,1509,7861,1,326,457,1,12.118339189722553
2192,6,1954,1954,832,7227,1,832,0,1,11.566475710526321
4424,9,2007,2007,1828,11694,1,1774,48,1,12.659737267217572
4493,8,2003,2003,2262,12244,1,611,871,1,12.628070334272698
1728,3,1914,1950,864,8248,0,823,41,0,11.112462823634855
4760,6,1974,1997,2614,10800,0,384,956,1,12.388398368982115
2444,5,1977,1977,980,7064,0,420,560,1,11.813037464800539
2708,6,2000,2000,1512,2117,1,336,420,1,12.034696963475044
3006,6,1972,1972,1790,10400,0,485,247,1,12.014615485902027
2672,6,1962,1962,1116,10000,0,1116,0,1,11.982935344196433
2686,5,1960,1978,1422,12342,0,978,0,1,11.848690308590857
3040,6,1955,1972,1520,9600,0,350,674,1,11.938199736300925
3624,5,1969,1969,2080,11606,0,390,650,1,11.813037464800539
3118,6,1964,1964,1350,9020,0,288,624,1,12.034696963475044
2626,5,1880,1991,1750,9000,1,636,0,1,11.728044909070785
3735,8,2006,2006,1554,4590,1,1530,24,1,12.252483791602627
3341,7,1977,1977,1411,11900,0,564,822,1,11.320565693461432
2372,5,1954,2005,1056,9250,0,108,480,1,11.845109950883979
2688,6,1980,1980,1056,6979,0,0,1056,1,11.87757552297847
4320,6,1914,1995,3395,10896,0,1184,256,1,12.206077645517674
1064,2,1936,1950,800,6120,0,264,0,0,11.002116507732017
2454,5,1954,1954,1387,6000,1,811,0,1,11.440365524765756
1592,5,1910,1950,796,8777,0,796,0,1,11.350418300109132
3735,8,2006,2006,1567,3982,1,366,1154,1,12.485830907348902
3624,8,2003,2004,1518,12677,1,300,1218,1,12.520887034998584
3636,7,2001,2001,1929,7050,1,319,738,1,12.328294703023394
5194,8,1972,1995,2704,13860,1,542,1410,1,12.75130259456002
2862,5,1969,1969,1620,10793,0,0,493,1,11.931642378754141
4010,9,2009,2009,1766,9187,1,645,1121,1,12.823631142839984
2538,6,1971,1971,981,10530,0,664,282,1,11.872353615355413
1468,5,1950,1950,1048,7200,0,0,0,1,11.495789479023493
2683,6,1953,1953,1094,10452,0,594,500,1,11.951186847493476
3037,6,1966,1966,1839,7700,0,756,0,1,11.951186847493476
1260,4,1970,1970,630,1936,0,0,131,1,11.344518647594766
3040,7,2007,2007,1665,8125,1,813,0,1,12.235393555399902
2561,4,1940,1950,1510,9084,0,755,0,1,11.58989576532275
3108,7,1996,1996,1716,8750,1,880,0,1,12.160033942617156
2441,6,1906,1995,1469,10320,0,756,0,1,11.813037464800539
5061,8,1995,1995,2113,10437,1,413,1696,1,12.765691290604371
1881,6,1971,1971,1092,1680,0,525,0,1,11.385103457032141
2418,5,1959,2006,1053,10007,1,247,806,1,11.8879382384223
2548,7,1931,2000,1502,7200,0,776,0,1,11.91170829631447
2700,6,1948,1950,1458,17503,0,912,0,1,11.487617913343598
3452,5,1964,1999,1486,9937,0,849,637,1,12.025755079404917
3278,7,1976,1976,1935,12384,0,793,0,1,12.19552218463499
4788,8,1994,2005,2448,46589,1,88,1361,1,12.904209855160254
3360,6,1968,1968,1392,13560,0,1392,0,1,11.608244735642321
2907,4,1972,1972,1181,10012,0,38,920,1,11.83138646878959
5308,8,2005,2006,2097,20896,1,356,1721,1,12.955129822091815
3846,8,2000,2000,1936,11194,1,1406,0,1,12.348010479804223
3997,6,1965,1979,2380,18450,0,111,187,1,11.767575435251748
3662,6,1994,1998,1679,8125,1,270,1138,1,12.173037959397275
3201,5,1956,1987,1437,14175,0,200,988,1,12.031725210748633
2132,4,1922,1950,1180,11600,0,700,0,1,11.83138646878959
2754,6,2005,2005,1476,8633,1,545,193,1,12.063938642041201
2341,6,1925,1950,1369,6629,0,121,551,0,11.548302261270587
2962,6,1977,1977,1208,11250,0,441,767,1,12.013706813470414
3732,6,1957,2004,1839,14442,1,291,1186,1,12.458778882573533
2656,6,1965,1965,1136,9200,0,244,892,1,11.849404844423074
2736,6,1978,1978,1441,2289,0,544,311,1,11.908346971208951
3648,4,1900,1950,1774,9600,0,1095,0,0,11.373674891823535
1800,5,1924,2006,792,9022,1,768,0,1,11.603688960617083
4926,8,2008,2008,2046,11844,1,2046,0,1,12.827995001361906
2548,5,1961,1961,988,9945,0,161,827,1,11.763691965388299
2110,6,1980,1980,923,8012,0,261,543,1,11.870606902224587
2594,5,1932,2000,1520,4500,0,611,182,1,11.979391594635791
3013,6,1996,1997,1291,2887,1,288,1003,1,12.06105265381003
3996,9,2002,2002,1668,11248,1,567,1059,1,12.560247968016562
3520,7,1998,1998,1839,16770,0,1195,0,1,12.30592250537653
3857,7,1984,1984,2090,5062,1,180,828,1,12.242891437918386
3213,7,2007,2007,1761,10207,1,874,0,1,12.336556900342153
2133,7,2004,2004,1102,5105,1,312,239,1,11.910365121788654
3405,8,2007,2007,1419,8089,1,474,945,1,12.879019669789754
3184,6,2005,2006,1362,7577,1,1342,20,1,12.179220327453931
2116,6,2004,2004,848,4426,1,151,697,1,11.856522261533737
7592,10,1994,1995,4316,21535,1,989,1455,1,13.534474352733596
4357,7,1989,1990,2519,26178,1,245,965,1,12.721888795877375
2472,5,1921,1968,1073,5400,0,1073,0,1,11.59433032142082
3042,5,1936,1950,1539,6120,0,927,0,1,11.860062063178267
2800,6,1987,1987,1137,13811,1,92,980,1,12.07824495582233
1437,5,1921,1950,616,6000,0,0,616,1,11.39640288460621
2436,5,1952,1952,1148,6420,0,219,210,1,11.724004532183379
2124,5,1965,2009,894,8450,0,224,553,1,11.83863282480007
3312,7,2004,2004,1391,4282,1,1375,16,1,12.185875040240456
4365,8,2002,2002,1800,14331,1,526,1274,1,12.652362948153474
2856,7,1969,1969,1164,9600,0,1164,0,1,11.849404844423074
4476,8,2006,2006,2576,12438,1,1234,0,1,12.799178471909892
2844,5,1900,1996,1812,7630,1,360,0,1,11.849404844423074
3563,7,2004,2005,1484,8400,1,761,712,1,12.269052139516223
1092,4,1930,1950,1092,5600,0,0,0,0,10.915106645867503
4206,7,1971,2002,1824,115149,1,424,1219,1,12.618185607609803
3198,8,2006,2006,1324,6240,1,461,863,1,12.445093483000798
2584,7,2007,2007,1456,9018,1,728,0,1,12.09815887308463
2188,5,1966,1966,904,7162,0,876,0,1,11.60733523953139
999,3,1935,2003,729,4130,0,270,0,1,10.859018228147887
2421,4,1900,1950,1178,8712,0,859,0,1,11.54031687156214
2928,8,1988,1989,1228,4671,1,461,767,1,12.149507585033072
2496,4,1970,1970,960,9873,0,171,789,0,11.767575435251748
2679,6,1976,2005,1479,13517,1,192,533,1,11.779136168550774
2892,6,1974,1974,1350,10140,0,1064,0,1,12.013706813470414
3976,7,1890,1998,2554,10800,0,718,0,1,11.979805470779858
2793,5,1973,2000,1178,10000,1,92,1084,1,11.964007453736912
4712,7,1993,1994,2418,10542,1,138,1173,1,12.739640688812674
2242,5,1969,1969,971,9920,0,448,523,1,11.763691965388299
4048,8,1985,1985,1742,6563,1,594,1148,1,12.524530013005734
2116,6,2004,2004,848,4426,1,186,662,1,11.870606902224587
2191,4,1970,1970,864,8120,0,673,191,1,11.732069026983156
2959,4,1954,1972,1470,8172,0,941,0,1,11.813037464800539
4164,9,2007,2008,1698,13286,1,464,1234,1,12.676079399771027
2388,4,1970,1970,864,6960,1,250,375,1,11.699413330633599
3100,6,1988,2007,1680,21695,1,72,808,1,12.310437165348775
3096,7,2007,2007,1232,7314,1,508,724,1,12.178192583415596
4248,5,1958,1958,1776,11475,0,1584,0,1,11.608244735642321
2167,4,1925,1950,1208,6240,0,628,152,1,11.542493975902508
3819,8,1995,1996,1616,5389,1,415,1180,1,12.373707715234994
2452,7,2003,2003,1146,9590,1,82,786,1,12.141539457711714
3725,7,1998,1999,2031,11404,1,901,252,1,12.312686874960354
2272,5,1961,1983,1144,10000,0,270,594,1,11.786008995353765
2196,5,1968,1968,948,8978,0,948,0,1,11.58989576532275
2968,7,1914,1970,1768,10800,0,490,390,0,12.001511614739405
1440,3,1950,1950,1040,8544,0,0,0,0,11.445727410406752
3494,8,2005,2005,1801,10463,1,893,0,1,12.3879816172226
2400,5,1987,1988,1200,10800,0,0,1200,1,12.095146671399466
3164,7,2004,2004,1728,9313,1,864,0,1,12.154784614286667
2056,5,1910,2002,1432,9600,0,264,0,1,11.790564777297387
2112,6,1961,1996,912,6768,1,80,832,1,11.863589378812122
3237,7,2000,2001,1349,8450,0,1349,0,1,12.095146671399466
2464,5,1963,1999,1464,12886,0,76,444,1,12.07254696717504
3136,8,1993,1993,1337,5395,1,604,733,1,12.100717685412471
4688,8,1976,1996,2715,8963,1,487,575,1,12.61087420020211
3762,7,2000,2000,2256,8795,1,652,300,1,12.371591321286905
4744,7,1880,2003,2640,11700,1,1240,0,0,12.491176396967154
3967,7,1996,1996,1720,10593,1,801,919,1,12.469978029554953
1769,4,1945,1950,1529,8405,0,0,0,0,11.49273296168228
1716,4,1910,2004,1140,8800,0,576,0,1,11.477308649967686
2380,7,2003,2003,1320,7750,1,660,0,1,11.995357787034976
3549,6,1997,1997,1494,9236,1,279,1200,1,12.28765724080691
4006,8,2005,2005,2098,10240,1,1030,0,1,12.526346537332584
2492,6,1969,2005,1026,7930,1,115,439,1,11.957617696467539
2640,6,1999,1999,1471,3230,0,348,381,1,12.058158312538197
3212,8,2007,2007,1768,10769,1,846,20,1,12.264346270624157
2498,6,1978,1978,1386,11616,0,234,438,1,11.97603664577121
2685,7,1999,1999,1501,2280,0,195,549,1,12.097378802727306
4601,8,1995,1995,2531,12257,1,1198,56,1,12.577639650232573
2028,6,1959,1959,864,9100,0,252,612,1,11.755879486687116
2886,5,1924,1950,1301,6911,0,740,405,1,11.51293546492023
2917,7,2009,2009,1547,8640,1,732,24,1,12.279327754099118
4473,8,1999,1999,2365,9430,1,89,1163,1,12.727841176689147
3469,8,1995,1996,1494,9549,1,0,437,1,12.506180941677357
3596,9,2008,2008,1506,14587,1,1498,0,1,12.484208043148733
3190,7,1988,1988,1714,10421,0,586,394,1,12.188422799337028
3156,6,1940,1985,1750,12508,0,323,660,1,11.982935344196433
4180,7,2004,2005,1836,9100,1,1836,24,1,12.28690580994122
5770,8,2003,2003,3279,53504,1,234,1416,1,13.195615697878253
2292,5,1982,1982,858,7252,0,173,685,1,11.812296455066814
2452,4,1951,1951,1220,8877,0,0,836,1,11.532737896139919
2818,6,1976,1976,1117,7819,0,480,422,1,11.580593459194764
2099,5,1958,1958,912,10150,0,456,456,1,11.648338835562747
4803,8,2006,2006,1973,14226,1,1935,0,1,12.886643575525625
2820,6,1998,1998,1204,4500,0,338,866,1,11.995357787034976
4093,7,2005,2006,1614,11210,1,1594,20,1,12.308182383129823
2198,5,1974,1974,894,13350,0,102,762,1,11.86710429621008
2650,5,1977,1977,2020,8400,0,0,0,1,11.87757552297847
2483,6,1977,1977,1004,10530,0,0,975,1,11.813037464800539
2892,7,1995,1996,1253,7875,0,1237,0,1,12.07824495582233
2848,6,1992,1992,1603,7153,1,374,387,1,12.077676615757813
3448,7,2001,2002,1430,16285,1,1413,0,1,12.139403856983334
2809,5,1978,1978,1110,9101,1,0,1097,1,12.016732516077072
2226,6,1914,2001,1484,6300,0,742,0,1,11.759793355371237
3171,6,1967,1967,1342,9790,0,491,251,1,11.992266613576142
2754,5,1915,1950,1652,10800,0,0,686,1,11.842236406331555
3658,7,2004,2004,2084,10142,1,300,656,1,12.358798024384122
2083,4,1954,2000,901,6000,0,901,0,1,11.588969419043872
3363,6,1966,2007,2087,12205,1,264,568,1,12.141539457711714
2687,7,2005,2006,1145,3182,1,1129,16,1,11.984184555794167
2630,6,1976,1976,1062,11333,0,490,539,1,11.896833207128452
3585,7,1996,1997,2013,9920,0,255,862,1,12.505402864156405
3466,8,2007,2007,1496,9158,1,1496,0,1,12.323860125621126
3016,7,1994,1996,1895,10832,1,712,0,1,12.178192583415596
2690,6,1980,1981,1564,8400,0,650,0,1,12.049424683420915
2473,6,1977,1977,1285,8197,0,660,0,1,11.874097282798648
1786,5,1953,1953,773,7677,0,203,570,1,11.608244735642321
5886,9,2008,2009,3140,13518,1,1926,0,1,13.091906231773164
2739,5,1937,1950,1768,7200,1,162,569,1,12.07254696717504
2907,6,1997,1997,1688,12798,1,154,462,1,12.206077645517674
2832,4,1916,1990,1196,4800,0,999,197,1,11.60733523953139
2594,7,2005,2005,1456,8199,1,80,648,1,12.149507585033072
5576,9,2008,2009,2822,13891,1,1734,0,1,13.275829251377
2350,5,1954,1954,1128,9000,0,124,812,1,11.678448377988165
3399,7,2008,2008,1428,12274,1,1417,0,1,12.335700805443338
2344,5,1967,1967,980,9750,0,100,400,1,11.816734299348461
3428,5,1923,2004,1576,21384,1,15,1309,1,12.317171167298682
2594,5,1966,1966,1086,13400,0,380,516,1,11.982622797311857
3347,5,1898,1965,2138,8100,0,849,0,0,11.571203807011969
2833,6,1974,1999,1309,10140,1,0,663,1,12.10625783509458
2116,6,2004,2004,848,4438,1,186,662,1,11.881041706925902
2088,5,1952,1952,1044,8712,0,540,0,0,10.932999821119937
3185,6,1958,1958,1442,9750,0,834,608,1,11.969723533345908
2216,5,1918,1950,1250,8248,0,686,0,1,11.661354090741
3908,7,1998,1998,1661,12137,1,1649,0,1,12.323415584358154
2291,5,1954,1954,1008,11425,0,522,486,1,11.827743504053695
4114,8,2002,2002,1689,13265,1,350,1218,1,12.509877789891931
2502,6,1971,1971,1052,8816,0,506,504,1,11.951186847493476
3200,7,2009,2010,1358,6371,1,625,733,1,12.319405795112926
3033,7,2003,2003,1640,7226,1,798,0,1,12.117246896289503
2448,4,1953,1953,936,6000,0,936,0,0,11.440365524765756
3013,7,2003,2003,1733,12394,1,847,0,1,12.323860125621126
2507,6,1940,1950,1489,9900,0,778,0,1,11.845827048676645
3754,8,2006,2006,1489,11216,1,1489,0,1,12.357079818283598
5382,10,2007,2008,2084,14803,1,442,1636,1,12.861001210669146
1568,5,1924,1950,784,6130,1,0,784,1,11.603688960617083
3415,7,2001,2001,1434,8529,1,1434,20,1,12.149507585033072
3677,5,1967,1967,2126,28698,0,0,249,1,12.128116509451258
2223,7,2005,2005,1223,2544,1,600,0,1,11.900912042974875
3242,6,1957,1957,1392,11900,0,352,1040,1,12.019749091416921
2200,7,2005,2005,1200,3180,1,600,0,1,11.92504173829169
3383,7,2003,2003,1829,9548,1,458,483,1,12.37581963951765
3504,6,1964,1964,1516,10004,0,975,196,1,12.025755079404917
2744,5,1961,1961,1144,7875,0,572,572,1,11.849047640327147
2570,4,1950,1995,1067,9600,1,625,442,1,11.759793355371237
3930,5,1948,1973,1559,8100,0,1221,338,1,11.941462360646149
